movie_id,title,year,runtime,vote_average,vote_count,budget,revenue,original_language,decade
466272,Once Upon a Time... in Hollywood,2019,162,7.422,15018,95000000.0,393869691.0,en,2010
4727,Le Gendarme de Saint-Tropez,1964,89,7.046,944,230769.0,10500000.0,fr,1960
4728,The Gendarme in New York,1965,95,6.311,568,,,fr,1960
4729,The Gendarme Gets Married,1968,90,6.516,613,,,fr,1960
474350,It Chapter Two,2019,169,6.837,9725,79000000.0,473123154.0,en,2010
475,Bonnie and Clyde,1967,111,7.5,1813,2500000.0,70000000.0,en,1960
475557,Joker,2019,122,8.1,27972,55000000.0,1078958629.0,en,2010
4808,Charade,1963,113,7.7,1565,4000000.0,13475000.0,en,1960
48831,My Night at Maud's,1969,110,7.63,359,,,fr,1960
489,Good Will Hunting,1997,127,8.162,14038,10000000.0,225933435.0,en,1990
490132,Green Book,2018,130,8.225,13031,23000000.0,321752656.0,en,2010
49026,The Dark Knight Rises,2012,165,7.796,24594,250000000.0,1081041287.0,en,2010
49047,Gravity,2013,91,7.172,16475,105000000.0,723192705.0,en,2010
49051,The Hobbit: An Unexpected Journey,2012,169,7.379,19815,250000000.0,1021103568.0,en,2010
492,Being John Malkovich,1999,113,7.422,4851,13000000.0,22863596.0,en,1990
4922,The Curious Case of Benjamin Button,2008,166,7.601,13863,150000000.0,335802786.0,en,2000
4929,Hang 'em High,1968,115,6.856,860,1800000.0,6800000.0,en,1960
4935,Howl's Moving Castle,2004,119,8.389,11237,24000000.0,236049757.0,ja,2000
4946,The Swimming Pool,1969,123,7.0,573,,,fr,1960
4951,10 Things I Hate About You,1999,97,7.597,9028,16000000.0,53478166.0,en,1990
49521,Man of Steel,2013,143,6.654,16376,225000000.0,668045518.0,en,2010
49530,In Time,2011,109,6.972,12267,40000000.0,173900000.0,en,2010
49538,X-Men: First Class,2011,132,7.302,13655,160000000.0,353624124.0,en,2010
495764,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,109,6.869,10889,75000000.0,205537933.0,en,2020
496243,Parasite,2019,133,8.49,20951,11363000.0,257591776.0,ko,2010
49687,Marriage Italian Style,1964,102,7.7,550,,12800000.0,it,1960
497,The Green Mile,1999,189,8.506,19504,60000000.0,286801374.0,en,1990
497582,Enola Holmes,2020,123,7.226,6707,21000000.0,,en,2020
499,Cléo from 5 to 7,1962,90,7.7,788,,,fr,1960
500,Reservoir Dogs,1992,99,8.112,15624,1200000.0,2859750.0,en,1990
50014,The Help,2011,146,8.206,9147,25000000.0,216600000.0,en,2010
502,Fail Safe,1964,112,7.8,477,,,en,1960
506,Marnie,1964,130,7.1,1236,2135000.0,7000000.0,en,1960
50619,The Twilight Saga: Breaking Dawn - Part 1,2011,117,6.2,9334,110000000.0,712171856.0,en,2010
50620,The Twilight Saga: Breaking Dawn - Part 2,2012,115,6.454,9430,120000000.0,829747654.0,en,2010
50646,"Crazy, Stupid, Love.",2011,118,7.276,9376,50000000.0,145079584.0,en,2010
508,Love Actually,2003,135,7.099,7456,40000000.0,250779876.0,en,2000
508439,Onward,2020,102,7.6,6634,200000000.0,141888276.0,en,2020
508442,Soul,2020,101,8.1,11558,150000000.0,121977511.0,en,2020
509,Notting Hill,1999,124,7.267,6791,42000000.0,363889678.0,en,1990
510,One Flew Over the Cuckoo's Nest,1975,135,8.408,11579,3000000.0,108981275.0,en,1970
